county,pop
28109,54974
28111,31920
28113,43547
28115,60600
28117,15594
28119,18091
28121,101898
28123,29265
28125,6660
28127,32663
28129,33504
28131,55654
28133,49137
28135,22403
28137,43349
28139,33650
28141,24622
28143,12625
28145,36790
28147,24223
28149,46913
28151,54541
28153,74741
28155,21634
28157,12387
28159,50311
28161,25881
28163,35884
32003,1748346
32005,38330
20001,9359
21083,33794
20007,3104
20009,5709
20011,12513
20013,3379
20015,44120
20017,2767
20019,3287
20021,16738
20023,2757
20027,6852
20029,5095
20031,8402
20033,1771
20035,31567
20037,37681
20039,2023
20041,12157
20043,9914
20045,66444
20047,1724
20049,3054
20051,23637
20053,4014
20055,33744
20057,34854
20059,26136
20061,18473
20063,928
20065,2228
20067,9504
20069,5651
20071,1329
20073,7833
21095,23722
20077,6821
20079,10007
20081,3672
20083,2104
20085,16043
20087,5460
20089,2815
20091,461447
20093,2614
20095,4067
20097,973
21099,18162
20101,3405
20103,91159
20105,1218
20107,8098
20111,29216
20113,22114
20115,34586
20117,10908
20119,4450
20121,65744
20123,6632
20125,36501
20127,12900
20129,4962
20131,9124
20133,34260
20135,2248
20137,2818
20139,18993
20141,3562
20143,4385
20145,3476
21107,34314
20149,15861
20151,7769
20153,2026
20155,39821
20157,5111
20159,44487
20161,66281
20163,6452
20165,5031
20167,9905
20169,60045
20171,7708
20173,472316
20175,21326
20177,146335
20179,3583
20181,5914
20183,3926
20185,25360
20187,2037
20189,3815
20191,39509
12001,170506
12003,14527
21131,11380
12005,128561
12007,4331
12009,496176
12011,1560323
12013,12017
12015,119382
5099,21510
12017,122527
12019,74059
12021,203948
12023,43439
21119,16844
12029,9002
12031,843046
12033,276722
12035,80150
12037,9314
12039,5330
12041,38971
12043,2969
12045,12783
12047,7619
12049,22503
12051,14996
12053,150505
12055,74258
12057,1008012
49017,5424
12061,120355
12063,42618
48035,9345
12065,11366
12067,4467
12069,163844
12071,643871
12073,257415
12075,39336
12077,27874
12079,15408
12081,283725
12083,298574
12085,69399
12086,2206253
12087,81984
12089,81219
12091,128431
12093,21975
12095,957138
12097,285429
12099,1184632
12101,470852
12103,882957
12105,600791
12107,82679
12109,215544
12111,326928
12113,140560
12115,452277
12117,422777
12119,135665
12121,52316
12123,18268
12125,9404
12127,467858
12129,27044
12131,110461
12133,49882
53051,5388
46127,15369
5043,16338
4001,57014
4003,102505
4005,105026
4007,32641
4009,47858
4011,7137
4012,22681
4013,3372601
4015,174285
4017,103837
4019,864871
4021,89355
4023,31484
4025,210986
4027,197618
48459,87604
45001,10899
45003,130910
45005,3783
45007,113918
45009,6143
45011,25154
45013,133263
45015,40802
5045,74914
45019,285199
45021,36789
45023,8952
45025,35281
45027,14256
45029,34851
45031,28063
45033,19692
45035,222059
45037,23777
45039,2356
45041,109664
45043,16445
45045,298283
45047,71184
45049,28575
45051,248743
45053,17021
45055,10825
45057,61429
45059,130285
45061,55967
45063,163351
45065,7068
45067,41035
45069,27762
45071,36013
45073,73471
45075,119701
45077,158982
45079,408950
45081,35608
45083,302328
5101,40570
45085,121501
53057,74887
45087,37912
45089,74039
45091,229339
48255,13103
49019,1144
5049,6791
53059,36839
5047,7107
48491,523685
37001,27183
37003,26363
37005,10614
37007,21791
37009,7936
37011,734
37013,10076
53061,726230
37015,16893
37017,12505
37019,97362
37021,140688
37023,26132
37025,59546
37027,23874
37029,8920
37031,28544
37033,41843
37035,137245
37037,24085
37039,25544
37043,9580
37045,35390
37047,68110
37049,42636
37051,171871
37053,23643
37055,33612
37057,50686
37059,8968
37061,3322
37063,48594
37065,20813
37067,260254
37069,18016
37071,170822
37073,10381
53063,417954
37075,8405
37077,16547
37079,650
37081,470229
37083,44226
37085,95075
37087,75368
37089,82977
37091,17801
37093,90391
37095,7619
37097,156782
37099,26195
37101,59933
37103,51317
37105,3074
37107,68682
37109,132813
37111,86275
37113,32689
37115,39539
37117,22259
37119,798192
37121,25181
37123,2986
37125,132156
37127,77770
37129,158396
37131,19461
37133,159645
53065,55119
37135,255355
37137,35261
37139,35017
37141,63529
37143,25300
37145,51571
37147,205489
37149,59519
37151,299146
37153,46179
37155,129013
37157,120305
37159,188452
37161,93252
37163,120208
37165,41193
37167,68538
37169,49499
37171,62673
37173,21584
37175,29680
37177,1972
37179,277346
37181,60013
37183,961842
37185,24940
5057,17596
37187,17834
37189,39977
37191,134948
37193,147712
53067,254232
37195,108965
37197,43519
37199,27503
29009,13451
13027,14487
29013,15818
29015,11507
29017,5671
29019,69310
29021,86960
13029,20431
29027,114573
29029,29321
29031,70414
29033,8165
13031,64846
29037,78405
29039,11076
29041,10402
29043,14066
29045,7205
13033,16741
29049,13088
29051,68575
29053,11855
5059,85650
29055,11874
29057,3511
29059,6024
29061,8830
53069,55614
29063,16720
29065,1248
29067,2285
29069,30150
29071,70310
29073,11476
49023,9991
29075,6172
29077,255389
29079,14561
29081,10327
21231,25542
29085,9697
29087,3678
29089,14354
29091,26176
29093,4451
54001,14200
29097,76982
29099,151319
29101,45941
29103,3311
29105,34666
13043,7941
29109,54110
29111,7449
29113,32280
29115,9542
29117,14421
13045,34661
29121,15464
53071,56796
29123,951
29125,6715
29127,4855
29129,3743
54007,11350
29133,7243
29135,11753
29137,7275
29139,15739
29141,41114
13049,2818
29145,100902
29147,18381
29149,9480
29151,11084
29153,6000
13051,226845
29157,20643
29159,53979
29161,35450
29163,14463
29165,154875
54013,6784
29169,46423
29171,5962
29173,44348
5063,33842
29175,22870
29177,50089
29179,4580
29181,13951
53073,209885
29183,336563
29185,10349
29186,20838
29187,74098
29189,755835
54017,9631
21001,695
21003,17025
29197,5577
21007,8604
21009,28183
29203,7710
21013,27089
21015,53744
